step: 44000/500000, d_loss: 0.2601, g_loss_u: 5.3597, g_loss_s: 0.0382, g_loss_v: 0.057, e_loss_t0: 0.0014
step: 45000/500000, d_loss: 0.23, g_loss_u: 5.9097, g_loss_s: 0.036, g_loss_v: 0.0575, e_loss_t0: 0.0014
step: 46000/500000, d_loss: 0.2335, g_loss_u: 8.3016, g_loss_s: 0.037, g_loss_v: 0.0539, e_loss_t0: 0.0014
step: 47000/500000, d_loss: 0.2122, g_loss_u: 7.1989, g_loss_s: 0.0413, g_loss_v: 0.053, e_loss_t0: 0.0013
step: 48000/500000, d_loss: 0.1519, g_loss_u: 13.4098, g_loss_s: 0.0385, g_loss_v: 0.059, e_loss_t0: 0.0014
step: 49000/500000, d_loss: 0.1933, g_loss_u: 5.5647, g_loss_s: 0.0429, g_loss_v: 0.0447, e_loss_t0: 0.0013
step: 50000/500000, d_loss: 0.1626, g_loss_u: 8.0526, g_loss_s: 0.0395, g_loss_v: 0.0447, e_loss_t0: 0.0014
step: 51000/500000, d_loss: 0.1799, g_loss_u: 7.3599, g_loss_s: 0.0539, g_loss_v: 0.0682, e_loss_t0: 0.0014
step: 52000/500000, d_loss: 0.16, g_loss_u: 15.772, g_loss_s: 0.0433, g_loss_v: 0.0465, e_loss_t0: 0.0014
step: 53000/500000, d_loss: 0.1508, g_loss_u: 9.6818, g_loss_s: 0.0416, g_loss_v: 0.0677, e_loss_t0: 0.0013
step: 54000/500000, d_loss: 0.1593, g_loss_u: 8.6978, g_loss_s: 0.0428, g_loss_v: 0.0667, e_loss_t0: 0.0014
step: 55000/500000, d_loss: 0.1541, g_loss_u: 8.8835, g_loss_s: 0.0448, g_loss_v: 0.044, e_loss_t0: 0.0014
step: 56000/500000, d_loss: 0.162, g_loss_u: 7.5078, g_loss_s: 0.0439, g_loss_v: 0.0422, e_loss_t0: 0.0013
step: 57000/500000, d_loss: 0.1633, g_loss_u: 9.7329, g_loss_s: 0.0395, g_loss_v: 0.0462, e_loss_t0: 0.0015
step: 58000/500000, d_loss: 0.207, g_loss_u: 8.0276, g_loss_s: 0.0386, g_loss_v: 0.0394, e_loss_t0: 0.0014
step: 59000/500000, d_loss: 0.2479, g_loss_u: 8.9337, g_loss_s: 0.0404, g_loss_v: 0.0438, e_loss_t0: 0.0013
step: 60000/500000, d_loss: 0.1564, g_loss_u: 11.4797, g_loss_s: 0.0381, g_loss_v: 0.0469, e_loss_t0: 0.0013
step: 61000/500000, d_loss: 0.1516, g_loss_u: 9.5024, g_loss_s: 0.0348, g_loss_v: 0.0424, e_loss_t0: 0.0013
step: 62000/500000, d_loss: 0.1515, g_loss_u: 7.9163, g_loss_s: 0.0387, g_loss_v: 0.0485, e_loss_t0: 0.0013
step: 63000/500000, d_loss: 0.1675, g_loss_u: 7.5429, g_loss_s: 0.0359, g_loss_v: 0.054, e_loss_t0: 0.0014
step: 64000/500000, d_loss: 0.1615, g_loss_u: 6.7239, g_loss_s: 0.0406, g_loss_v: 0.0619, e_loss_t0: 0.0014
step: 65000/500000, d_loss: 0.159, g_loss_u: 7.887, g_loss_s: 0.042, g_loss_v: 0.0597, e_loss_t0: 0.0014
step: 66000/500000, d_loss: 0.1507, g_loss_u: 8.5678, g_loss_s: 0.0353, g_loss_v: 0.0448, e_loss_t0: 0.0014
step: 67000/500000, d_loss: 0.16, g_loss_u: 7.5954, g_loss_s: 0.0364, g_loss_v: 0.0419, e_loss_t0: 0.0013
step: 68000/500000, d_loss: 0.1795, g_loss_u: 7.0709, g_loss_s: 0.036, g_loss_v: 0.0564, e_loss_t0: 0.0013
step: 69000/500000, d_loss: 0.2063, g_loss_u: 6.4299, g_loss_s: 0.0337, g_loss_v: 0.047, e_loss_t0: 0.0015
step: 70000/500000, d_loss: 0.1674, g_loss_u: 7.3023, g_loss_s: 0.0358, g_loss_v: 0.0567, e_loss_t0: 0.0014
step: 71000/500000, d_loss: 0.1853, g_loss_u: 6.6796, g_loss_s: 0.035, g_loss_v: 0.0458, e_loss_t0: 0.0014
step: 72000/500000, d_loss: 0.1733, g_loss_u: 5.9711, g_loss_s: 0.0357, g_loss_v: 0.0437, e_loss_t0: 0.0013
step: 73000/500000, d_loss: 0.2047, g_loss_u: 4.9092, g_loss_s: 0.0355, g_loss_v: 0.0536, e_loss_t0: 0.0014
step: 74000/500000, d_loss: 0.1539, g_loss_u: 5.8746, g_loss_s: 0.0354, g_loss_v: 0.0467, e_loss_t0: 0.0013
step: 75000/500000, d_loss: 0.151, g_loss_u: 7.3736, g_loss_s: 0.0343, g_loss_v: 0.0377, e_loss_t0: 0.0013
step: 76000/500000, d_loss: 0.1679, g_loss_u: 7.2465, g_loss_s: 0.0325, g_loss_v: 0.0457, e_loss_t0: 0.0013
step: 77000/500000, d_loss: 0.1801, g_loss_u: 9.6232, g_loss_s: 0.0326, g_loss_v: 0.0461, e_loss_t0: 0.0013
step: 78000/500000, d_loss: 0.1773, g_loss_u: 8.204, g_loss_s: 0.0325, g_loss_v: 0.045, e_loss_t0: 0.0014
step: 79000/500000, d_loss: 0.1567, g_loss_u: 9.2724, g_loss_s: 0.033, g_loss_v: 0.0475, e_loss_t0: 0.0013
step: 80000/500000, d_loss: 0.1584, g_loss_u: 7.219, g_loss_s: 0.0326, g_loss_v: 0.0458, e_loss_t0: 0.0013
step: 81000/500000, d_loss: 0.1585, g_loss_u: 7.5975, g_loss_s: 0.0317, g_loss_v: 0.0508, e_loss_t0: 0.0013
step: 82000/500000, d_loss: 0.1558, g_loss_u: 11.8056, g_loss_s: 0.0312, g_loss_v: 0.0465, e_loss_t0: 0.0013
step: 83000/500000, d_loss: 0.1507, g_loss_u: 14.3842, g_loss_s: 0.0323, g_loss_v: 0.0571, e_loss_t0: 0.0013
step: 84000/500000, d_loss: 0.1524, g_loss_u: 10.0567, g_loss_s: 0.031, g_loss_v: 0.0496, e_loss_t0: 0.0013
step: 85000/500000, d_loss: 0.157, g_loss_u: 10.5458, g_loss_s: 0.0313, g_loss_v: 0.0526, e_loss_t0: 0.0013
step: 86000/500000, d_loss: 0.1609, g_loss_u: 9.4542, g_loss_s: 0.0327, g_loss_v: 0.0553, e_loss_t0: 0.0014
step: 87000/500000, d_loss: 0.1593, g_loss_u: 7.901, g_loss_s: 0.0363, g_loss_v: 0.0631, e_loss_t0: 0.0014
step: 88000/500000, d_loss: 0.1875, g_loss_u: 7.024, g_loss_s: 0.0407, g_loss_v: 0.1077, e_loss_t0: 0.0013
step: 89000/500000, d_loss: 0.1574, g_loss_u: 6.6124, g_loss_s: 0.0364, g_loss_v: 0.091, e_loss_t0: 0.0014
step: 90000/500000, d_loss: 0.1675, g_loss_u: 5.2448, g_loss_s: 0.0335, g_loss_v: 0.0808, e_loss_t0: 0.0013
step: 91000/500000, d_loss: 0.1557, g_loss_u: 10.3027, g_loss_s: 0.0328, g_loss_v: 0.0596, e_loss_t0: 0.0013
step: 92000/500000, d_loss: 0.1531, g_loss_u: 16.1101, g_loss_s: 0.034, g_loss_v: 0.0641, e_loss_t0: 0.0013
step: 93000/500000, d_loss: 0.1641, g_loss_u: 8.2066, g_loss_s: 0.0304, g_loss_v: 0.0509, e_loss_t0: 0.0013
step: 94000/500000, d_loss: 0.1689, g_loss_u: 7.2906, g_loss_s: 0.0311, g_loss_v: 0.0507, e_loss_t0: 0.0014
step: 95000/500000, d_loss: 0.1524, g_loss_u: 8.1639, g_loss_s: 0.03, g_loss_v: 0.0441, e_loss_t0: 0.0014
step: 96000/500000, d_loss: 0.1511, g_loss_u: 9.3271, g_loss_s: 0.0291, g_loss_v: 0.0358, e_loss_t0: 0.0013
step: 97000/500000, d_loss: 0.1605, g_loss_u: 10.5325, g_loss_s: 0.0284, g_loss_v: 0.049, e_loss_t0: 0.0013
step: 98000/500000, d_loss: 0.1526, g_loss_u: 7.8631, g_loss_s: 0.0282, g_loss_v: 0.0511, e_loss_t0: 0.0014
step: 99000/500000, d_loss: 0.1554, g_loss_u: 9.4245, g_loss_s: 0.0269, g_loss_v: 0.0403, e_loss_t0: 0.0013
step: 100000/500000, d_loss: 0.1511, g_loss_u: 9.5545, g_loss_s: 0.0263, g_loss_v: 0.0357, e_loss_t0: 0.0013
step: 101000/500000, d_loss: 0.1516, g_loss_u: 9.3139, g_loss_s: 0.026, g_loss_v: 0.0389, e_loss_t0: 0.0013
step: 102000/500000, d_loss: 0.1522, g_loss_u: 9.9795, g_loss_s: 0.0263, g_loss_v: 0.0397, e_loss_t0: 0.0012
step: 103000/500000, d_loss: 0.1657, g_loss_u: 10.4565, g_loss_s: 0.0268, g_loss_v: 0.0367, e_loss_t0: 0.0013
step: 104000/500000, d_loss: 0.153, g_loss_u: 8.8284, g_loss_s: 0.0265, g_loss_v: 0.0463, e_loss_t0: 0.0013
step: 105000/500000, d_loss: 0.1544, g_loss_u: 17.6834, g_loss_s: 0.0398, g_loss_v: 0.1601, e_loss_t0: 0.0014
step: 106000/500000, d_loss: 0.1544, g_loss_u: 16.2549, g_loss_s: 0.0284, g_loss_v: 0.0353, e_loss_t0: 0.0013
step: 107000/500000, d_loss: 0.1544, g_loss_u: 15.7437, g_loss_s: 0.0266, g_loss_v: 0.0409, e_loss_t0: 0.0013
step: 108000/500000, d_loss: 0.1544, g_loss_u: 16.138, g_loss_s: 0.0271, g_loss_v: 0.0951, e_loss_t0: 0.0013
step: 109000/500000, d_loss: 0.1517, g_loss_u: 15.4146, g_loss_s: 0.0257, g_loss_v: 0.0522, e_loss_t0: 0.0012
step: 110000/500000, d_loss: 0.1555, g_loss_u: 14.895, g_loss_s: 0.0246, g_loss_v: 0.0436, e_loss_t0: 0.0012
step: 111000/500000, d_loss: 0.1515, g_loss_u: 14.6575, g_loss_s: 0.0251, g_loss_v: 0.0393, e_loss_t0: 0.0012
step: 112000/500000, d_loss: 0.157, g_loss_u: 14.3416, g_loss_s: 0.0244, g_loss_v: 0.0379, e_loss_t0: 0.0013
step: 113000/500000, d_loss: 0.1518, g_loss_u: 13.9994, g_loss_s: 0.024, g_loss_v: 0.0388, e_loss_t0: 0.0012
step: 114000/500000, d_loss: 0.1505, g_loss_u: 13.9234, g_loss_s: 0.0249, g_loss_v: 0.0531, e_loss_t0: 0.0012
step: 115000/500000, d_loss: 0.1569, g_loss_u: 13.1549, g_loss_s: 0.0242, g_loss_v: 0.0431, e_loss_t0: 0.0012
step: 116000/500000, d_loss: 0.152, g_loss_u: 12.3711, g_loss_s: 0.0239, g_loss_v: 0.0404, e_loss_t0: 0.0013
step: 117000/500000, d_loss: 0.154, g_loss_u: 12.1833, g_loss_s: 0.0241, g_loss_v: 0.0323, e_loss_t0: 0.0012
step: 118000/500000, d_loss: 0.1506, g_loss_u: 12.5503, g_loss_s: 0.0239, g_loss_v: 0.0433, e_loss_t0: 0.0013
step: 119000/500000, d_loss: 0.1522, g_loss_u: 12.7277, g_loss_s: 0.0237, g_loss_v: 0.037, e_loss_t0: 0.0012
step: 120000/500000, d_loss: 0.1503, g_loss_u: 12.5545, g_loss_s: 0.0234, g_loss_v: 0.0384, e_loss_t0: 0.0012
step: 121000/500000, d_loss: 0.1519, g_loss_u: 12.4387, g_loss_s: 0.0236, g_loss_v: 0.041, e_loss_t0: 0.0012
step: 122000/500000, d_loss: 0.1604, g_loss_u: 12.3909, g_loss_s: 0.0239, g_loss_v: 0.0369, e_loss_t0: 0.0012
step: 123000/500000, d_loss: 0.1513, g_loss_u: 12.0728, g_loss_s: 0.0235, g_loss_v: 0.0368, e_loss_t0: 0.0013
step: 124000/500000, d_loss: 0.1529, g_loss_u: 11.9488, g_loss_s: 0.0233, g_loss_v: 0.0364, e_loss_t0: 0.0012
step: 125000/500000, d_loss: 0.1539, g_loss_u: 11.6174, g_loss_s: 0.0237, g_loss_v: 0.0369, e_loss_t0: 0.0012
step: 126000/500000, d_loss: 0.1547, g_loss_u: 12.5344, g_loss_s: 0.024, g_loss_v: 0.0482, e_loss_t0: 0.0013
step: 127000/500000, d_loss: 0.1554, g_loss_u: 15.3391, g_loss_s: 0.0278, g_loss_v: 0.038, e_loss_t0: 0.0012
step: 128000/500000, d_loss: 0.1554, g_loss_u: 14.3413, g_loss_s: 0.0241, g_loss_v: 0.0415, e_loss_t0: 0.0013
step: 129000/500000, d_loss: 0.1516, g_loss_u: 13.536, g_loss_s: 0.0233, g_loss_v: 0.0365, e_loss_t0: 0.0012
step: 130000/500000, d_loss: 0.1522, g_loss_u: 12.5103, g_loss_s: 0.0226, g_loss_v: 0.0399, e_loss_t0: 0.0012
step: 131000/500000, d_loss: 0.1533, g_loss_u: 11.4215, g_loss_s: 0.0223, g_loss_v: 0.0326, e_loss_t0: 0.0013
step: 132000/500000, d_loss: 0.1564, g_loss_u: 10.7416, g_loss_s: 0.0224, g_loss_v: 0.0323, e_loss_t0: 0.0012
step: 133000/500000, d_loss: 0.1529, g_loss_u: 15.0801, g_loss_s: 0.3488, g_loss_v: 0.2148, e_loss_t0: 0.0012
